level,title,difficulty,cleared,wikilink,movielink
15, チルノのパーフェクトさんすう教室, CHALLENGE,true, https://www21.atwiki.jp/asigami/pages/2887.html, hoge
15, 初音ミクの消失, CHALLENGE,false, https://www21.atwiki.jp/asigami/pages/2781.html, hoge
15, 放課後ストライド, EXPERT,false, https://www21.atwiki.jp/asigami/pages/2561.html, hoge
15, ロストワンの号哭, CHALLENGE,true, https://www21.atwiki.jp/asigami/pages/2901.html, hoge
15, ナイト・オブ・ナイツ, EXPERT,false, https://www21.atwiki.jp/asigami/pages/2519.html, hoge
16, ANNIVERSARY ∴∵∴ ←↓↑→, EXPERT,false, https://www21.atwiki.jp/asigami/pages/2998.html, hoge
16, 打打打打打打打打打打, CHALLENGE,false, https://www21.atwiki.jp/asigami/pages/2748.html, hoge
16, ナイト・オブ・ナイツ, CHALLENGE,false, https://www21.atwiki.jp/asigami/pages/2888.html, hoge
16, 輪廻転生, CHALLENGE,false, https://www21.atwiki.jp/asigami/pages/2855.html, hoge
16, 六兆年と一夜物語, CHALLENGE,false, https://www21.atwiki.jp/asigami/pages/2900.html, hoge
